a,b,c
30.382,1.1804,4.0741
30.384,1.181,4.0841
30.378,1.1839,4.0941
30.381,1.1885,4.1041
30.382,1.2049,4.1141
30.393,1.209,4.1241
30.398,1.2146,4.1341
30.396,1.1927,4.1441
30.385,1.2039,4.1542
30.391,1.199,4.1642
30.398,1.1851,4.1742
30.414,1.2057,4.1842
30.414,1.2061,4.1942
30.418,1.1987,4.2042
30.42,1.2083,4.2142
30.433,1.2387,4.2242
30.432,1.2216,4.2342
30.431,1.227,4.2442
30.43,1.2206,4.2543
30.444,1.2082,4.2643
30.453,1.2254,4.2743
30.461,1.2131,4.2843
30.461,1.2367,4.2943
30.442,1.2052,4.3043
30.453,1.2093,4.3143
30.47,1.214,4.3243
30.466,1.2104,4.3343
30.455,1.2056,4.3443
30.456,1.1847,4.3544
30.446,1.1818,4.3644
30.467,1.1914,4.3744
30.467,1.1839,4.3844
30.465,1.1746,4.3944
30.45,1.2022,4.4044
30.443,1.2033,4.4144
30.45,1.2016,4.4244
30.447,1.2109,4.4344
30.445,1.2135,4.4444
30.437,1.2054,4.4545
30.439,1.1996,4.4645
30.432,1.2066,4.4745
30.426,1.2056,4.4845
30.414,1.1969,4.4945
30.417,1.2188,4.5045
30.411,1.2115,4.5145
30.416,1.2259,4.5245
30.414,1.2345,4.5345
30.405,1.2349,4.5445
30.411,1.2286,4.5546
30.402,1.2239,4.5646
30.4,1.2525,4.5746
30.416,1.2706,4.5846
30.415,1.2754,4.5946
30.421,1.2632,4.6046
30.416,1.249,4.6146
30.429,1.2637,4.6246
30.43,1.288,4.6346
30.428,1.2912,4.6446
30.423,1.2685,4.6547
30.429,1.2662,4.6647
30.423,1.2576,4.6747
30.422,1.2596,4.6847
30.455,1.2879,4.6947
30.459,1.3031,4.7047
30.465,1.3017,4.7147
30.454,1.2672,4.7247
30.458,1.2702,4.7347
30.476,1.2901,4.7447
30.478,1.2756,4.7548
30.495,1.2904,4.7648
30.489,1.2796,4.7748
30.498,1.2829,4.7848
30.501,1.2794,4.7948
30.5,1.2698,4.8048
30.502,1.2656,4.8148
30.509,1.2554,4.8248
30.508,1.2652,4.8348
30.509,1.2637,4.8448
30.504,1.2723,4.8549
30.501,1.2692,4.8649
30.5,1.2697,4.8749
30.503,1.2632,4.8849
30.501,1.2573,4.8949
30.489,1.2569,4.9049
30.493,1.2504,4.9149
30.483,1.2689,4.9249
30.482,1.2724,4.9349
30.478,1.2569,4.9449
30.472,1.2775,4.955
30.469,1.2946,4.965
30.453,1.2874,4.975
30.449,1.2612,4.985
30.445,1.2867,4.995
30.438,1.2881,5.005
30.431,1.2996,5.015
30.433,1.3099,5.025
30.433,1.3151,5.035
30.428,1.316,5.045
30.427,1.3142,5.0551
30.421,1.3282,5.0651
30.421,1.3192,5.0751
30.42,1.3194,5.0851
30.418,1.3236,5.0951
30.417,1.2994,5.1051
30.415,1.305,5.1151
30.427,1.3199,5.1251
30.429,1.3079,5.1351
30.431,1.3343,5.1451
30.432,1.3271,5.1552
30.437,1.2964,5.1652
30.444,1.2844,5.1752
30.461,1.296,5.1852
30.463,1.2961,5.1952
30.468,1.2935,5.2052
30.477,1.2838,5.2152
30.477,1.2842,5.2252
30.469,1.2703,5.2352
30.474,1.2736,5.2452
30.486,1.2862,5.2553
30.491,1.2789,5.2653
30.509,1.283,5.2753
30.497,1.2768,5.2853
30.5,1.2648,5.2953
30.497,1.2794,5.3053
30.501,1.2796,5.3153
30.502,1.2487,5.3253
30.498,1.2524,5.3353
30.506,1.2631,5.3453
30.505,1.2759,5.3554
30.505,1.2701,5.3654
30.498,1.271,5.3754
30.492,1.2707,5.3854
30.481,1.2475,5.3954
30.478,1.2379,5.4054
30.469,1.2424,5.4154
30.462,1.2595,5.4254
30.459,1.2508,5.4354
30.451,1.2448,5.4454
30.444,1.2531,5.4555
30.432,1.2568,5.4655
30.424,1.2564,5.4755
30.411,1.2478,5.4855
30.413,1.2489,5.4955
30.401,1.2417,5.5055
30.406,1.2543,5.5155
30.395,1.2667,5.5255
30.392,1.2635,5.5355
30.395,1.2552,5.5455
30.395,1.278,5.5556
30.396,1.2699,5.5656
30.398,1.2717,5.5756
30.397,1.2847,5.5856
30.394,1.2917,5.5956
30.403,1.2807,5.6056
30.406,1.2838,5.6156
30.408,1.2848,5.6256
30.414,1.311,5.6356
30.423,1.3062,5.6456
30.433,1.2986,5.6557
30.44,1.3071,5.6657
30.439,1.275,5.6757
30.448,1.256,5.6857
30.453,1.2468,5.6957
30.472,1.2737,5.7057
30.469,1.2763,5.7157
30.481,1.2751,5.7257
30.49,1.2794,5.7357
30.488,1.2871,5.7457
30.496,1.2834,5.7558
30.501,1.2782,5.7658
30.513,1.2761,5.7758
30.511,1.2828,5.7858
30.515,1.298,5.7958
30.525,1.2963,5.8058
30.519,1.2845,5.8158
30.517,1.2666,5.8258
30.511,1.2792,5.8358
30.509,1.2849,5.8458
30.5,1.285,5.8559
30.501,1.2805,5.8659
30.486,1.2875,5.8759
30.482,1.2662,5.8859
30.471,1.2824,5.8959
30.468,1.2706,5.9059
30.462,1.2723,5.9159
30.45,1.2648,5.9259
30.449,1.2656,5.9359
30.437,1.258,5.9459
30.432,1.2566,5.956
30.422,1.2803,5.966
30.414,1.2754,5.976
30.406,1.2592,5.986
30.4,1.2545,5.996
30.397,1.2829,6.006
30.398,1.2844,6.016
30.378,1.2866,6.026
30.385,1.2832,6.036
30.38,1.2698,6.046
30.372,1.2635,6.0561
30.384,1.261,6.0661
30.392,1.2532,6.0761
30.398,1.2526,6.0861
30.404,1.2702,6.0961
30.412,1.2637,6.1061
30.399,1.246,6.1161
30.413,1.2654,6.1261
30.42,1.2604,6.1361
30.427,1.2535,6.1461
30.427,1.2551,6.1562
30.436,1.2509,6.1662
30.455,1.271,6.1762
30.476,1.2953,6.1862
30.476,1.2805,6.1962
30.484,1.29,6.2062
30.487,1.2851,6.2162
30.494,1.2814,6.2262
30.494,1.2588,6.2362
30.507,1.2614,6.2462
30.508,1.2713,6.2563
30.521,1.2882,6.2663
30.506,1.2699,6.2763
30.526,1.2543,6.2863
30.522,1.2852,6.2963
30.509,1.2731,6.3063
30.517,1.2888,6.3163
30.501,1.2676,6.3263
30.496,1.2709,6.3363
30.505,1.2691,6.3463
30.494,1.257,6.3564
30.465,1.2337,6.3664
30.478,1.2377,6.3764
30.469,1.2609,6.3864
30.443,1.2463,6.3964
30.44,1.2573,6.4064
30.436,1.2457,6.4164
30.426,1.2454,6.4264
30.417,1.2599,6.4364
30.41,1.2345,6.4464
30.393,1.2426,6.4565
30.39,1.2178,6.4665
30.385,1.229,6.4765
30.391,1.2403,6.4865
30.392,1.2569,6.4965
30.374,1.2499,6.5065
30.376,1.2458,6.5165
30.376,1.2328,6.5265
30.378,1.242,6.5365
30.373,1.2337,6.5465
30.387,1.259,6.5566
30.392,1.2802,6.5666
30.401,1.2886,6.5766
30.407,1.2713,6.5866
30.416,1.2748,6.5966
30.419,1.2653,6.6066
30.429,1.2875,6.6166
30.441,1.2994,6.6266
30.453,1.2954,6.6366
30.466,1.2785,6.6466
30.466,1.2716,6.6567
30.472,1.2765,6.6667
30.471,1.274,6.6767
30.474,1.2476,6.6867
30.487,1.255,6.6967
30.505,1.2794,6.7067
30.511,1.2812,6.7167
30.512,1.2929,6.7267
30.524,1.2999,6.7367
30.51,1.2774,6.7467
30.514,1.2704,6.7568
30.513,1.2658,6.7668
30.515,1.2699,6.7768
30.525,1.2954,6.7868
30.52,1.2759,6.7968
30.507,1.2901,6.8068
30.507,1.2579,6.8168
30.49,1.2615,6.8268
30.473,1.2581,6.8368
30.483,1.2763,6.8468
30.475,1.2763,6.8569
30.448,1.2484,6.8669
30.435,1.2549,6.8769
30.43,1.2636,6.8869
30.427,1.2535,6.8969
30.421,1.2277,6.9069
30.404,1.2321,6.9169
30.397,1.2273,6.9269
30.384,1.2412,6.9369
30.388,1.2275,6.9469
30.382,1.23,6.957
30.38,1.2443,6.967
30.378,1.2283,6.977
30.378,1.2346,6.987
30.374,1.2461,6.997
30.378,1.2406,7.007
30.384,1.2281,7.017
30.394,1.2532,7.027
30.389,1.2451,7.037
30.392,1.2539,7.047
30.392,1.2549,7.0571
30.397,1.2715,7.0671
30.405,1.2622,7.0771
30.414,1.26,7.0871
30.426,1.2802,7.0971
30.427,1.272,7.1071
30.439,1.28,7.1171
30.445,1.2965,7.1271
30.453,1.3017,7.1371
30.472,1.3069,7.1471
30.479,1.2915,7.1572
30.49,1.3033,7.1672
30.494,1.2855,7.1772
30.495,1.2904,7.1872
30.494,1.3052,7.1972
30.497,1.2915,7.2072
30.508,1.2988,7.2172
30.512,1.2852,7.2272
30.512,1.3129,7.2372
30.509,1.2905,7.2472
30.501,1.2942,7.2573
30.504,1.2984,7.2673
30.5,1.2923,7.2773
30.497,1.2836,7.2873
30.493,1.2888,7.2973
30.495,1.2753,7.3073
30.491,1.2856,7.3173
30.477,1.2602,7.3273
30.469,1.2716,7.3373
30.455,1.2801,7.3473
30.456,1.2682,7.3574
30.446,1.2605,7.3674
30.438,1.2684,7.3774
30.432,1.2631,7.3874
30.429,1.2665,7.3974
30.414,1.2674,7.4074
30.405,1.2679,7.4174
30.398,1.2426,7.4274
30.391,1.2516,7.4374
30.381,1.2308,7.4474
30.382,1.2392,7.4575
30.391,1.2494,7.4675
30.388,1.2728,7.4775
30.378,1.2527,7.4875
30.366,1.2208,7.4975
30.39,1.2651,7.5075
30.393,1.2797,7.5175
30.401,1.2778,7.5275
30.409,1.2901,7.5375
30.406,1.2924,7.5475
30.41,1.2961,7.5576
30.417,1.3032,7.5676
30.426,1.3054,7.5776
30.436,1.3122,7.5876
30.433,1.2762,7.5976
30.437,1.2921,7.6076
30.438,1.2923,7.6176
30.442,1.2877,7.6276
30.455,1.2915,7.6376
30.482,1.3222,7.6476
30.488,1.3171,7.6577
30.493,1.3042,7.6677
30.486,1.3161,7.6777
30.493,1.3215,7.6877
30.492,1.3204,7.6977
30.483,1.2988,7.7077
30.497,1.3098,7.7177
30.493,1.2929,7.7277
30.495,1.3128,7.7377
30.498,1.3178,7.7477
30.493,1.3075,7.7578
30.496,1.3018,7.7678
30.511,1.3282,7.7778
30.49,1.3078,7.7878
30.481,1.3164,7.7978
30.465,1.2891,7.8078
30.462,1.2901,7.8178
30.453,1.2806,7.8278
30.446,1.2635,7.8378
30.437,1.2647,7.8478
30.43,1.2669,7.8579
30.427,1.2528,7.8679
30.416,1.2446,7.8779
30.419,1.2476,7.8879
30.401,1.2522,7.8979
30.387,1.2495,7.9079
30.381,1.24,7.9179
30.378,1.2475,7.9279
30.377,1.2583,7.9379
30.392,1.2669,7.9479
30.387,1.263,7.958
30.375,1.2548,7.968
30.381,1.2495,7.978
30.381,1.2628,7.988
30.385,1.2632,7.998
30.391,1.2654,8.008
30.395,1.2763,8.018
30.402,1.284,8.028
30.404,1.2764,8.038
30.406,1.2929,8.048
30.412,1.2963,8.0581
30.426,1.31,8.0681
30.443,1.3333,8.0781
30.453,1.3523,8.0881
30.458,1.3348,8.0981
30.456,1.3485,8.1081
30.465,1.3538,8.1181
30.467,1.3408,8.1281
30.476,1.3417,8.1381
30.478,1.3513,8.1481
30.498,1.3594,8.1582
30.5,1.3766,8.1682
30.503,1.3556,8.1782
30.512,1.352,8.1882
30.514,1.3649,8.1982
30.513,1.3608,8.2082
30.52,1.3473,8.2182
30.511,1.3566,8.2282
30.5,1.3494,8.2382
30.499,1.3381,8.2482
30.49,1.3374,8.2583
30.494,1.3316,8.2683
30.492,1.3215,8.2783
30.479,1.3155,8.2883
30.469,1.3334,8.2983
30.453,1.3137,8.3083
30.443,1.2878,8.3183
30.439,1.2992,8.3283
30.442,1.3101,8.3383
30.423,1.2961,8.3483
30.426,1.295,8.3584
30.424,1.3088,8.3684
30.417,1.2998,8.3784
30.414,1.2913,8.3884
30.409,1.2876,8.3984
30.405,1.294,8.4084
30.39,1.2891,8.4184
30.386,1.2995,8.4284
30.389,1.2941,8.4384
30.397,1.3066,8.4484
30.4,1.3136,8.4585
30.403,1.3063,8.4685
30.405,1.3114,8.4785
30.416,1.3281,8.4885
30.419,1.3167,8.4985
30.428,1.3389,8.5085
30.43,1.3507,8.5185
30.437,1.3557,8.5285
30.443,1.3627,8.5385
30.453,1.3794,8.5485
30.451,1.3898,8.5586
30.463,1.4031,8.5686
30.473,1.3903,8.5786
30.48,1.3988,8.5886
30.487,1.3928,8.5986
30.487,1.4022,8.6086
30.48,1.4011,8.6186
30.495,1.4213,8.6286
30.505,1.4199,8.6386
30.514,1.4103,8.6486
30.516,1.4292,8.6587
30.515,1.4188,8.6687
30.503,1.408,8.6787
30.505,1.401,8.6887
30.525,1.4141,8.6987
30.522,1.4261,8.7087
30.503,1.4153,8.7187
30.497,1.4128,8.7287
30.494,1.4031,8.7387
30.492,1.3987,8.7487
30.489,1.3862,8.7588
30.48,1.3917,8.7688
30.473,1.374,8.7788
30.471,1.3679,8.7888
30.465,1.3527,8.7988
30.446,1.351,8.8088
30.445,1.348,8.8188
30.446,1.3414,8.8288
30.445,1.3489,8.8388
30.435,1.3461,8.8488
30.424,1.3481,8.8589
30.423,1.3309,8.8689
30.412,1.3257,8.8789
30.412,1.3369,8.8889
30.415,1.32,8.8989
30.407,1.3362,8.9089
30.409,1.3301,8.9189
30.408,1.343,8.9289
30.407,1.3569,8.9389
30.413,1.3569,8.9489
30.416,1.3568,8.959
30.425,1.385,8.969
30.438,1.3997,8.979
30.427,1.3903,8.989
30.429,1.3954,8.999
30.444,1.4174,9.009
30.445,1.4132,9.019
30.46,1.4225,9.029
30.466,1.4406,9.039
30.467,1.458,9.049
30.461,1.4518,9.0591
30.469,1.4508,9.0691
30.5,1.4816,9.0791
30.488,1.4588,9.0891
30.5,1.4777,9.0991
30.499,1.4776,9.1091
30.504,1.4805,9.1191
30.512,1.4866,9.1291
30.505,1.4705,9.1391
30.497,1.475,9.1491
30.502,1.4764,9.1592
30.51,1.4611,9.1692
30.505,1.4661,9.1792
30.495,1.463,9.1892
30.5,1.46,9.1992
30.502,1.4582,9.2092
30.492,1.4465,9.2192
30.489,1.4445,9.2292
30.493,1.4481,9.2392
30.482,1.4529,9.2492
30.474,1.4468,9.2593
30.471,1.4368,9.2693
30.478,1.4384,9.2793
30.468,1.4177,9.2893
30.465,1.4015,9.2993
30.462,1.4078,9.3093
30.451,1.3971,9.3193
30.448,1.4025,9.3293
30.442,1.3825,9.3393
30.439,1.3787,9.3493
30.444,1.3896,9.3594
30.439,1.3771,9.3694
30.44,1.3905,9.3794
30.444,1.4046,9.3894
30.437,1.4131,9.3994
30.435,1.4241,9.4094
30.434,1.4268,9.4194
30.447,1.4419,9.4294
30.448,1.4516,9.4394
30.433,1.439,9.4494
30.464,1.4673,9.4595
30.464,1.4768,9.4695
30.467,1.4822,9.4795
30.462,1.4926,9.4895
30.469,1.5173,9.4995
30.473,1.517,9.5095
30.471,1.5088,9.5195
30.476,1.5127,9.5295
30.472,1.531,9.5395
30.48,1.5396,9.5495
30.483,1.5543,9.5596
30.5,1.558,9.5696
30.502,1.5634,9.5796
30.514,1.5655,9.5896
30.517,1.5829,9.5996
30.518,1.5849,9.6096
30.5,1.5718,9.6196
30.516,1.5846,9.6296
30.507,1.5863,9.6396
30.513,1.5621,9.6496
30.515,1.5532,9.6597
30.508,1.5521,9.6697
30.511,1.5539,9.6797
30.508,1.5501,9.6897
30.493,1.5214,9.6997
30.49,1.5182,9.7097
30.483,1.5055,9.7197
30.485,1.4958,9.7297
30.5,1.5205,9.7397
30.497,1.5229,9.7497
30.484,1.4993,9.7598
30.478,1.489,9.7698
30.485,1.4828,9.7798
30.486,1.4843,9.7898
30.485,1.4831,9.7998
30.472,1.4731,9.8098
30.477,1.4756,9.8198
30.471,1.4746,9.8298
30.475,1.4849,9.8398
30.478,1.4793,9.8498
30.48,1.4974,9.8599
30.481,1.4843,9.8699
30.483,1.5096,9.8799
30.476,1.499,9.8899
30.469,1.4985,9.8999
30.467,1.4907,9.9099
30.478,1.5095,9.9199
30.481,1.5255,9.9299
30.491,1.55,9.9399
30.486,1.5504,9.9499
30.486,1.5688,9.96
30.487,1.5723,9.97
30.49,1.5846,9.98
30.487,1.5957,9.99
30.5,1.6093,10
