a,b,c
30.733,2.0264,3.6737
30.769,2.0671,3.6837
30.788,2.0959,3.6937
30.746,2.0383,3.7037
30.738,2.0531,3.7137
30.748,2.0558,3.7237
30.755,2.054,3.7337
30.758,2.0432,3.7437
30.741,2.0407,3.7538
30.756,2.0341,3.7638
30.75,2.0067,3.7738
30.767,2.0191,3.7838
30.769,2.0329,3.7938
30.793,2.034,3.8038
30.791,2.0047,3.8138
30.795,1.9941,3.8238
30.83,2.0148,3.8338
30.802,1.963,3.8438
30.802,1.972,3.8539
30.821,1.9906,3.8639
30.798,1.9571,3.8739
30.807,1.9675,3.8839
30.788,1.9389,3.8939
30.842,1.9825,3.9039
30.823,1.9594,3.9139
30.853,1.9877,3.9239
30.847,1.9923,3.9339
30.844,1.9915,3.9439
30.875,2.0329,3.954
30.847,1.9979,3.964
30.837,1.9773,3.974
30.864,2.0219,3.984
30.861,2.0409,3.994
30.839,2.0228,4.004
30.829,2.0209,4.014
30.834,2.0176,4.024
30.827,2.0275,4.034
30.853,2.0518,4.044
30.863,2.09,4.0541
30.855,2.0905,4.0641
30.825,2.0617,4.0741
30.837,2.1167,4.0841
30.834,2.1263,4.0941
30.817,2.1089,4.1041
30.83,2.121,4.1141
30.833,2.1516,4.1241
30.846,2.1833,4.1341
30.842,2.1941,4.1441
30.838,2.1754,4.1542
30.837,2.1892,4.1642
30.816,2.1811,4.1742
30.821,2.1774,4.1842
30.835,2.1887,4.1942
30.849,2.2038,4.2042
30.805,2.1592,4.2142
30.805,2.1578,4.2242
30.8,2.1704,4.2342
30.799,2.1593,4.2442
30.83,2.1736,4.2543
30.799,2.1268,4.2643
30.802,2.1354,4.2743
30.833,2.1648,4.2843
30.788,2.1196,4.2943
30.811,2.1306,4.3043
30.818,2.1468,4.3143
30.86,2.168,4.3243
30.87,2.1615,4.3343
30.862,2.1644,4.3443
30.845,2.113,4.3544
30.876,2.1449,4.3644
30.881,2.1609,4.3744
30.897,2.1631,4.3844
30.913,2.1456,4.3944
30.936,2.1588,4.4044
30.927,2.1564,4.4144
30.888,2.1159,4.4244
30.856,2.1099,4.4344
30.87,2.1227,4.4444
30.876,2.1155,4.4545
30.849,2.1158,4.4645
30.866,2.1131,4.4745
30.913,2.1684,4.4845
30.877,2.1348,4.4945
30.875,2.1381,4.5045
30.878,2.1451,4.5145
30.865,2.1651,4.5245
30.866,2.1661,4.5345
30.871,2.1915,4.5445
30.857,2.1898,4.5546
30.821,2.1546,4.5646
30.814,2.1733,4.5746
30.806,2.2026,4.5846
30.82,2.2225,4.5946
30.778,2.1739,4.6046
30.789,2.187,4.6146
30.777,2.1915,4.6246
30.771,2.1703,4.6346
30.771,2.1807,4.6446
30.785,2.1871,4.6547
30.779,2.195,4.6647
30.814,2.2414,4.6747
30.792,2.2117,4.6847
30.752,2.1833,4.6947
30.773,2.1987,4.7047
30.793,2.2074,4.7147
30.781,2.1716,4.7247
30.736,2.1242,4.7347
30.766,2.1499,4.7447
30.777,2.15,4.7548
30.814,2.1908,4.7648
30.825,2.1713,4.7748
30.817,2.1768,4.7848
30.833,2.1732,4.7948
30.836,2.1807,4.8048
30.832,2.1492,4.8148
30.828,2.1159,4.8248
30.84,2.1467,4.8348
30.856,2.1513,4.8448
30.85,2.143,4.8549
30.878,2.1683,4.8649
30.901,2.1699,4.8749
30.894,2.1278,4.8849
30.899,2.1477,4.8949
30.879,2.1363,4.9049
30.892,2.1597,4.9149
30.95,2.2137,4.9249
30.895,2.1535,4.9349
30.899,2.1639,4.9449
30.894,2.1628,4.955
30.915,2.1697,4.965
30.924,2.2085,4.975
30.906,2.1922,4.985
30.892,2.2125,4.995
30.89,2.2288,5.005
30.857,2.1842,5.015
30.86,2.1947,5.025
30.841,2.2061,5.035
30.847,2.2173,5.045
30.837,2.218,5.0551
30.813,2.2124,5.0651
30.824,2.2276,5.0751
30.816,2.221,5.0851
30.839,2.2679,5.0951
30.808,2.2417,5.1051
30.817,2.2696,5.1151
30.761,2.2181,5.1251
30.771,2.2254,5.1351
30.81,2.2713,5.1451
30.802,2.2653,5.1552
30.782,2.2435,5.1652
30.802,2.2723,5.1752
30.788,2.2524,5.1852
30.821,2.2906,5.1952
30.813,2.2839,5.2052
30.806,2.2938,5.2152
30.812,2.3003,5.2252
30.834,2.2823,5.2352
30.863,2.2857,5.2452
30.882,2.3014,5.2553
30.863,2.2865,5.2653
30.898,2.2846,5.2753
30.901,2.2745,5.2853
30.911,2.2932,5.2953
30.888,2.2413,5.3053
30.902,2.2536,5.3153
30.91,2.2651,5.3253
30.918,2.2756,5.3353
30.932,2.244,5.3453
30.96,2.2534,5.3554
30.952,2.2681,5.3654
30.939,2.2529,5.3754
30.94,2.2418,5.3854
30.962,2.2513,5.3954
30.958,2.2782,5.4054
30.966,2.2781,5.4154
30.931,2.2483,5.4254
30.91,2.2432,5.4354
30.918,2.2773,5.4454
30.865,2.2066,5.4555
30.895,2.2516,5.4655
30.86,2.213,5.4755
30.897,2.2701,5.4855
30.88,2.2527,5.4955
30.856,2.2448,5.5055
30.838,2.2312,5.5155
30.839,2.2351,5.5255
30.832,2.2429,5.5355
30.783,2.1947,5.5455
30.781,2.1956,5.5556
30.857,2.2749,5.5656
30.819,2.2328,5.5756
30.794,2.1946,5.5856
30.801,2.219,5.5956
30.809,2.2421,5.6056
30.807,2.24,5.6156
30.835,2.2714,5.6256
30.839,2.2651,5.6356
30.831,2.2334,5.6456
30.835,2.2612,5.6557
30.828,2.2596,5.6657
30.826,2.2595,5.6757
30.847,2.2761,5.6857
30.865,2.2837,5.6957
30.866,2.2686,5.7057
30.881,2.2611,5.7157
30.931,2.3113,5.7257
30.901,2.2597,5.7357
30.9,2.2648,5.7457
30.912,2.2646,5.7558
30.92,2.2674,5.7658
30.925,2.2811,5.7758
30.909,2.2627,5.7858
30.922,2.2645,5.7958
30.924,2.2624,5.8058
30.933,2.2496,5.8158
30.943,2.2785,5.8258
30.945,2.2825,5.8358
30.94,2.2618,5.8458
30.951,2.2791,5.8559
30.972,2.2858,5.8659
30.975,2.294,5.8759
30.977,2.303,5.8859
30.949,2.2445,5.8959
30.912,2.2109,5.9059
30.912,2.2333,5.9159
30.912,2.248,5.9259
30.918,2.2682,5.9359
30.927,2.2663,5.9459
30.898,2.269,5.956
30.893,2.262,5.966
30.882,2.2662,5.976
30.866,2.2568,5.986
30.873,2.264,5.996
30.855,2.2576,6.006
30.839,2.2348,6.016
30.845,2.2422,6.026
30.852,2.2708,6.036
30.824,2.2435,6.046
30.814,2.2388,6.0561
30.819,2.2494,6.0661
30.828,2.2742,6.0761
30.81,2.2669,6.0861
30.839,2.2811,6.0961
30.867,2.3052,6.1061
30.87,2.3162,6.1161
30.851,2.2933,6.1261
30.845,2.2831,6.1361
30.858,2.3099,6.1461
30.879,2.3361,6.1562
