x,y
4.9868e+06,1.1848e-17
4.9995e+06,1.1198e-17
5.0122e+06,1.0987e-17
5.0249e+06,1.0953e-17
5.0376e+06,1.1365e-17
5.0504e+06,1.1491e-17
5.0631e+06,1.1605e-17
5.0758e+06,1.1815e-17
5.0885e+06,1.1912e-17
5.1012e+06,1.1993e-17
5.114e+06,1.253e-17
5.1267e+06,1.2191e-17
5.1394e+06,1.2741e-17
5.1521e+06,1.1928e-17
5.1649e+06,1.2161e-17
5.1776e+06,1.3631e-17
5.1903e+06,1.351e-17
5.203e+06,1.2915e-17
5.2157e+06,1.2307e-17
5.2285e+06,1.2321e-17
5.2412e+06,1.2476e-17
5.2539e+06,1.244e-17
5.2666e+06,1.2652e-17
5.2793e+06,1.2987e-17
5.2921e+06,1.2901e-17
5.3048e+06,1.3402e-17
5.3175e+06,1.3805e-17
5.3302e+06,1.352e-17
5.343e+06,1.3016e-17
5.3557e+06,1.254e-17
5.3684e+06,1.2683e-17
5.3811e+06,1.2537e-17
5.3938e+06,1.2481e-17
5.4066e+06,1.2957e-17
5.4193e+06,1.3518e-17
5.432e+06,1.3049e-17
5.4447e+06,1.337e-17
5.4574e+06,1.3705e-17
5.4702e+06,1.3924e-17
5.4829e+06,1.4498e-17
5.4956e+06,1.3321e-17
5.5083e+06,1.2961e-17
5.5211e+06,1.2952e-17
5.5338e+06,1.3367e-17
5.5465e+06,1.3676e-17
5.5592e+06,1.351e-17
5.5719e+06,1.3429e-17
5.5847e+06,1.3956e-17
5.5974e+06,1.4459e-17
5.6101e+06,1.4985e-17
5.6228e+06,1.5412e-17
5.6355e+06,1.5382e-17
5.6483e+06,1.5565e-17
5.661e+06,1.5792e-17
5.6737e+06,1.5526e-17
5.6864e+06,1.4899e-17
5.6992e+06,1.4086e-17
5.7119e+06,1.4461e-17
5.7246e+06,1.5114e-17
5.7373e+06,1.4502e-17
5.75e+06,1.4794e-17
5.7628e+06,1.462e-17
5.7755e+06,1.3621e-17
5.7882e+06,1.3743e-17
5.8009e+06,1.5e-17
5.8136e+06,1.491e-17
5.8264e+06,1.5488e-17
5.8391e+06,1.5046e-17
5.8518e+06,1.5412e-17
5.8645e+06,1.4641e-17
5.8773e+06,1.419e-17
5.89e+06,1.446e-17
5.9027e+06,1.4186e-17
5.9154e+06,1.515e-17
5.9281e+06,1.5431e-17
5.9409e+06,1.6041e-17
5.9536e+06,1.676e-17
5.9663e+06,1.7368e-17
5.979e+06,1.7164e-17
5.9917e+06,1.81e-17
6.0045e+06,1.7434e-17
6.0172e+06,1.7201e-17
6.0299e+06,1.7206e-17
6.0426e+06,1.8122e-17
6.0553e+06,1.9629e-17
6.0681e+06,1.9882e-17
6.0808e+06,1.7562e-17
6.0935e+06,1.757e-17
6.1062e+06,1.6562e-17
6.119e+06,1.5954e-17
