x,y
5.4702e+06,4.1772e-17
5.4829e+06,4.1755e-17
5.4956e+06,4.1582e-17
5.5083e+06,4.1317e-17
5.5211e+06,4.1699e-17
5.5338e+06,4.1575e-17
5.5465e+06,4.2113e-17
5.5592e+06,4.203e-17
5.5719e+06,4.1758e-17
5.5847e+06,4.2744e-17
5.5974e+06,4.2056e-17
5.6101e+06,4.242e-17
5.6228e+06,4.3064e-17
5.6355e+06,4.2275e-17
5.6483e+06,4.2747e-17
5.661e+06,4.2624e-17
5.6737e+06,4.2951e-17
5.6864e+06,4.3381e-17
5.6992e+06,4.2849e-17
5.7119e+06,4.2973e-17
5.7246e+06,4.2966e-17
5.7373e+06,4.308e-17
5.75e+06,4.3417e-17
5.7628e+06,4.3506e-17
5.7755e+06,4.36e-17
5.7882e+06,4.342e-17
5.8009e+06,4.3387e-17
5.8136e+06,4.3475e-17
5.8264e+06,4.3662e-17
5.8391e+06,4.435e-17
5.8518e+06,4.4458e-17
5.8645e+06,4.4458e-17
5.8773e+06,4.4788e-17
5.89e+06,4.4963e-17
5.9027e+06,4.4518e-17
5.9154e+06,4.5016e-17
5.9281e+06,4.4845e-17
5.9409e+06,4.4944e-17
5.9536e+06,4.5896e-17
5.9663e+06,4.5742e-17
5.979e+06,4.5973e-17
5.9917e+06,4.6028e-17
6.0045e+06,4.6477e-17
6.0172e+06,4.6667e-17
6.0299e+06,4.6427e-17
6.0426e+06,4.6962e-17
6.0553e+06,4.6554e-17
6.0681e+06,4.6087e-17
6.0808e+06,4.6667e-17
6.0935e+06,4.7452e-17
6.1062e+06,4.7495e-17
6.119e+06,4.8245e-17
6.1317e+06,4.8528e-17
6.1444e+06,4.8149e-17
6.1571e+06,4.8094e-17
6.1698e+06,4.7667e-17
6.1826e+06,4.7821e-17
6.1953e+06,4.8474e-17
6.208e+06,4.8312e-17
6.2207e+06,4.8161e-17
6.2334e+06,4.8826e-17
6.2462e+06,4.8257e-17
6.2589e+06,4.9307e-17
6.2716e+06,4.9272e-17
6.2843e+06,4.8036e-17
6.2971e+06,4.9723e-17
6.3098e+06,4.7889e-17
6.3225e+06,4.8865e-17
6.3352e+06,5.0351e-17
6.3479e+06,4.8868e-17
6.3607e+06,5.0796e-17
6.3734e+06,5.0641e-17
6.3861e+06,5.0645e-17
6.3988e+06,5.1783e-17
6.4115e+06,5.0738e-17
6.4243e+06,5.0211e-17
6.437e+06,5.0476e-17
6.4497e+06,5.0219e-17
6.4624e+06,4.9232e-17
6.4752e+06,4.9182e-17
6.4879e+06,4.9661e-17
6.5006e+06,4.9215e-17
