a,b,c
30.914,3.2218,3.3
30.975,3.2373,3.31
30.998,3.2432,3.32
31.132,3.3187,3.33
31.14,3.2717,3.34
31.146,3.194,3.35
31.149,3.1114,3.36
31.248,3.1936,3.37
31.331,3.215,3.38
31.345,3.1786,3.39
31.371,3.1432,3.4
31.38,3.0978,3.41
31.444,3.1442,3.42
31.477,3.1221,3.43
31.529,3.1634,3.44
31.516,3.1551,3.45
31.567,3.1653,3.46
31.562,3.1618,3.47
31.649,3.2437,3.48
31.615,3.2332,3.49
31.622,3.2377,3.5
31.608,3.2488,3.51
31.637,3.3313,3.52
31.553,3.2648,3.53
31.548,3.2644,3.54
31.516,3.31,3.55
31.428,3.2662,3.56
31.49,3.3732,3.57
31.422,3.3771,3.58
31.396,3.397,3.59
31.387,3.4523,3.6
31.32,3.4385,3.61
31.284,3.4475,3.62
31.261,3.5031,3.63
31.236,3.5202,3.64
31.197,3.5225,3.65
31.171,3.5299,3.66
31.124,3.545,3.67
31.061,3.5079,3.68
31.101,3.5608,3.69
31.098,3.5686,3.7
30.998,3.4904,3.71
30.972,3.47,3.72
30.969,3.4792,3.73
30.992,3.5059,3.74
30.968,3.4581,3.75
30.976,3.4595,3.76
31.004,3.4714,3.77
31.021,3.4624,3.78
30.997,3.3696,3.79
31.113,3.4519,3.8
31.07,3.3652,3.81
31.037,3.2822,3.82
31.091,3.2917,3.83
31.148,3.2903,3.84
31.243,3.3248,3.85
31.299,3.3001,3.86
31.28,3.2509,3.87
31.349,3.2638,3.88
31.371,3.2261,3.89
31.426,3.246,3.9
31.507,3.2865,3.91
31.487,3.24,3.92
31.479,3.2024,3.93
31.503,3.2217,3.94
31.517,3.2413,3.95
31.507,3.218,3.96
31.569,3.2928,3.97
31.613,3.3307,3.98
31.539,3.2784,3.99
31.561,3.3291,4
31.517,3.3111,4.01
31.566,3.3813,4.02
31.541,3.4177,4.03
31.506,3.4199,4.04
31.468,3.4404,4.05
31.456,3.4422,4.06
31.445,3.4767,4.07
31.348,3.4212,4.08
31.261,3.4021,4.09
31.278,3.4447,4.1
31.265,3.4918,4.11
31.263,3.5501,4.12
31.233,3.5793,4.13
31.16,3.5409,4.14
31.065,3.4732,4.15
31.114,3.548,4.16
30.993,3.4495,4.17
31.012,3.5174,4.18
31.043,3.5573,4.19
31.047,3.5671,4.2
30.971,3.5372,4.21
30.962,3.5215,4.22
31.007,3.5699,4.23
31.046,3.5662,4.24
31.017,3.5577,4.25
31.056,3.5589,4.26
31.105,3.5848,4.27
31.114,3.5812,4.28
31.139,3.5785,4.29
31.139,3.5113,4.3
31.128,3.4737,4.31
31.269,3.5713,4.32
31.374,3.6279,4.33
31.368,3.5855,4.34
31.357,3.5556,4.35
31.493,3.6398,4.36
31.538,3.6046,4.37
31.506,3.5449,4.38
31.525,3.5333,4.39
31.548,3.5222,4.4
31.61,3.5454,4.41
31.647,3.5516,4.42
31.609,3.5059,4.43
31.637,3.5078,4.44
31.674,3.5363,4.45
31.659,3.5302,4.46
31.619,3.502,4.47
31.672,3.5385,4.48
31.694,3.5704,4.49
31.736,3.6386,4.5
31.691,3.5988,4.51
31.642,3.5761,4.52
31.657,3.6384,4.53
31.653,3.6517,4.54
31.528,3.5827,4.55
31.517,3.5921,4.56
31.579,3.7062,4.57
31.513,3.6581,4.58
31.424,3.6361,4.59
31.379,3.6398,4.6
31.322,3.6313,4.61
31.264,3.603,4.62
31.227,3.5951,4.63
31.097,3.5209,4.64
31.113,3.5781,4.65
31.097,3.5823,4.66
31.061,3.5522,4.67
31.095,3.6398,4.68
31.056,3.6236,4.69
31.029,3.6029,4.7
31.04,3.637,4.71
31.073,3.673,4.72
31.165,3.7421,4.73
31.198,3.765,4.74
31.21,3.7517,4.75
31.308,3.8271,4.76
31.287,3.7897,4.77
31.24,3.7039,4.78
31.31,3.7112,4.79
31.283,3.6732,4.8
31.353,3.6831,4.81
31.398,3.7189,4.82
31.432,3.7042,4.83
31.426,3.6507,4.84
31.516,3.6911,4.85
31.503,3.656,4.86
31.585,3.6745,4.87
31.601,3.6587,4.88
31.605,3.6453,4.89
31.637,3.6264,4.9
31.706,3.6434,4.91
31.68,3.6045,4.92
31.653,3.568,4.93
31.597,3.5045,4.94
31.648,3.5757,4.95
31.508,3.4491,4.96
31.474,3.4385,4.97
31.487,3.4634,4.98
31.472,3.4586,4.99
31.417,3.4302,5
31.405,3.4468,5.01
31.407,3.4794,5.02
31.393,3.5151,5.03
31.383,3.532,5.04
31.387,3.5566,5.05
31.41,3.5842,5.06
31.322,3.5696,5.07
31.306,3.5839,5.08
31.284,3.5971,5.09
31.26,3.6174,5.1
31.22,3.6139,5.11
31.205,3.6332,5.12
31.19,3.6597,5.13
31.135,3.6346,5.14
31.237,3.7581,5.15
31.221,3.7618,5.16
31.134,3.6932,5.17
31.17,3.7587,5.18
31.108,3.6895,5.19
31.117,3.6874,5.2
31.159,3.7172,5.21
31.146,3.7108,5.22
31.192,3.7294,5.23
31.236,3.7559,5.24
31.27,3.7692,5.25
31.251,3.7356,5.26
31.249,3.6763,5.27
31.299,3.6792,5.28
31.301,3.6732,5.29
31.335,3.6758,5.3
31.34,3.6523,5.31
31.398,3.6681,5.32
31.431,3.6587,5.33
31.425,3.6284,5.34
31.451,3.6399,5.35
31.497,3.6449,5.36
31.465,3.5798,5.37
31.504,3.5949,5.38
31.528,3.5905,5.39
31.543,3.6032,5.4
31.557,3.611,5.41
31.545,3.5858,5.42
31.594,3.6133,5.43
31.541,3.5565,5.44
31.54,3.5915,5.45
31.57,3.5934,5.46
31.568,3.5918,5.47
31.562,3.6217,5.48
31.539,3.6103,5.49
31.527,3.639,5.5
31.511,3.63,5.51
31.495,3.6369,5.52
31.462,3.6182,5.53
31.502,3.6865,5.54
31.521,3.7361,5.55
31.438,3.6668,5.56
31.367,3.6266,5.57
31.377,3.6508,5.58
31.335,3.6683,5.59
31.33,3.6795,5.6
31.335,3.7033,5.61
31.28,3.6644,5.62
31.25,3.6492,5.63
31.253,3.6418,5.64
31.255,3.6651,5.65
31.204,3.6453,5.66
31.214,3.6524,5.67
31.271,3.7242,5.68
31.262,3.6963,5.69
31.237,3.6952,5.7
31.211,3.6608,5.71
31.231,3.6664,5.72
31.294,3.705,5.73
31.219,3.6533,5.74
31.241,3.6463,5.75
31.346,3.7,5.76
31.35,3.6816,5.77
31.388,3.7106,5.78
31.413,3.7377,5.79
31.406,3.6852,5.8
31.402,3.6715,5.81
31.425,3.6837,5.82
31.436,3.6756,5.83
31.479,3.6786,5.84
31.486,3.6844,5.85
31.479,3.6764,5.86
31.473,3.6459,5.87
31.445,3.6118,5.88
31.495,3.6626,5.89
31.535,3.684,5.9
31.466,3.6085,5.91
31.511,3.6629,5.92
31.5,3.6755,5.93
31.549,3.6833,5.94
31.525,3.6617,5.95
31.534,3.6774,5.96
31.494,3.6592,5.97
31.549,3.6689,5.98
31.543,3.6809,5.99
31.492,3.6323,6
31.517,3.7084,6.01
31.504,3.7193,6.02
31.467,3.6841,6.03
31.548,3.7801,6.04
31.574,3.8318,6.05
31.573,3.8133,6.06
31.499,3.7718,6.07
31.506,3.7789,6.08
31.515,3.8449,6.09
31.592,3.9303,6.1
31.544,3.9101,6.11
31.498,3.8852,6.12
31.47,3.8911,6.13
31.521,3.9333,6.14
31.494,3.9325,6.15
31.491,3.9579,6.16
31.526,3.9776,6.17
31.553,3.9986,6.18
31.515,3.9877,6.19
31.437,3.9158,6.2
31.506,3.9645,6.21
31.534,3.9887,6.22
31.514,3.9682,6.23
31.525,3.963,6.24
31.525,3.9707,6.25
31.514,3.9682,6.26
31.505,3.9467,6.27
31.445,3.8894,6.28
31.445,3.8743,6.29
31.42,3.8519,6.3
31.423,3.8403,6.31
31.422,3.8324,6.32
31.416,3.8076,6.33
31.454,3.8297,6.34
31.476,3.8457,6.35
31.383,3.7443,6.36
31.426,3.7892,6.37
31.464,3.818,6.38
31.421,3.7708,6.39
31.46,3.7863,6.4
31.446,3.7708,6.41
31.53,3.8461,6.42
31.525,3.838,6.43
31.557,3.8562,6.44
31.541,3.8123,6.45
31.543,3.8013,6.46
31.616,3.8535,6.47
31.533,3.7686,6.48
31.559,3.8113,6.49
31.564,3.825,6.5
31.622,3.8765,6.51
31.604,3.8622,6.52
31.59,3.8564,6.53
31.583,3.8445,6.54
31.638,3.9173,6.55
31.651,3.9185,6.56
31.654,3.9343,6.57
31.607,3.931,6.58
31.715,4.0284,6.59
31.694,3.9999,6.6
31.704,4.0042,6.61
31.617,3.9546,6.62
31.681,4.0192,6.63
31.653,4.0283,6.64
31.711,4.0577,6.65
31.55,3.9422,6.66
31.527,3.9278,6.67
31.622,4.0059,6.68
31.516,3.9054,6.69
31.502,3.8914,6.7
31.523,3.9664,6.71
31.428,3.9019,6.72
31.417,3.9041,6.73
31.408,3.9114,6.74
31.398,3.9082,6.75
31.4,3.9134,6.76
31.428,3.9402,6.77
31.407,3.9248,6.78
31.477,3.9688,6.79
31.444,3.9599,6.8
31.452,3.9671,6.81
31.453,3.9837,6.82
31.427,3.9506,6.83
31.365,3.8664,6.84
31.398,3.8917,6.85
31.396,3.8874,6.86
31.431,3.8924,6.87
31.415,3.8753,6.88
31.442,3.8708,6.89
31.435,3.8518,6.9
31.563,3.9356,6.91
31.513,3.8749,6.92
31.516,3.8756,6.93
31.54,3.8853,6.94
31.562,3.9097,6.95
31.619,3.9558,6.96
31.631,3.9588,6.97
31.625,3.9716,6.98
31.595,3.9179,6.99
31.603,3.911,7
31.686,3.9713,7.01
31.587,3.8836,7.02
31.664,3.9485,7.03
31.582,3.8894,7.04
31.627,3.9162,7.05
31.573,3.8837,7.06
31.602,3.9269,7.07
31.647,3.97,7.08
31.584,3.9229,7.09
31.618,3.9246,7.1
31.588,3.9061,7.11
31.6,3.9203,7.12
31.62,3.9501,7.13
31.601,3.9526,7.14
31.617,3.9789,7.15
31.603,4.0276,7.16
31.552,3.9772,7.17
31.513,3.965,7.18
31.539,3.98,7.19
31.55,3.9867,7.2
31.476,3.9804,7.21
31.451,3.9889,7.22
31.436,3.9979,7.23
31.409,3.9977,7.24
31.42,4.0324,7.25
31.466,4.0962,7.26
31.502,4.121,7.27
31.471,4.1314,7.28
31.411,4.0743,7.29
31.452,4.1115,7.3
31.462,4.1114,7.31
31.431,4.0683,7.32
31.557,4.167,7.33
31.532,4.1298,7.34
31.584,4.1771,7.35
31.509,4.081,7.36
